NAME,LSOA,Total: All usual residents aged 16 years and over,Unemployed
Bromley 037B,E01000685,1279,7
Bromley 037C,E01000686,1198,4
Bromley 037D,E01000687,1306,2
Bromley 037E,E01000688,1114,0
Bromley 039A,E01000654,1027,6
Bromley 039B,E01000655,1060,4
Bromley 039C,E01000656,1245,3
Bromley 039D,E01000657,1287,6
Bromley 039E,E01000659,1158,7
Bromley 040A,E01000816,1244,2
Bromley 040B,E01000818,1393,0
Bromley 040C,E01000819,1485,12
Bromley 040D,E01032562,1192,8
Bromley 040E,E01032563,1191,1
Bromley 041A,E01000707,1094,0
Bromley 041B,E01000708,1324,2
Bromley 041C,E01000771,1319,4
Bromley 041D,E01000774,1176,3
Bromley 041E,E01032568,1234,5
Bromley 042A,E01000658,1169,3
Bromley 042B,E01000747,1622,4
Bromley 042C,E01000748,1473,2
Bromley 042D,E01032570,1417,4
